Heat Seal Model HDS-115 Heavy Duty Combination Shrink System - Click Here for Video!,"$3,760.50 ",6/29/2016,Boggs Graphics Equipment,"$3,450.00 ",9.00%,'LIA15852,https://www.wirebids.com/lots/view/heat-seal-model-hds-115-heavy-duty-combination-shrink-system-click-here-for-video/26991
Plockmatic 8 Bin Collating and Booklet Making System,"$2,888.50 ",6/29/2016,Boggs Graphics Equipment,"$2,650.00 ",9.00%,-,https://www.wirebids.com/lots/view/plockmatic-8-bin-collating-and-booklet-making-system/27147
Challenge 305 MCPB Paper Cutter w/ MicroCut Jr,"$4,741.50 ",6/29/2016,Boggs Graphics Equipment,"$4,350.00 ",9.00%,'13771,https://www.wirebids.com/lots/view/challenge-305-mcpb-paper-cutter-w-microcut-jr-1/27042
"Baumfolder L-23-b 23x36"" Continous Feed Paper folder with 8 Page return and Roll-up Delivery","$1,853.00 ",6/29/2016,Boggs Graphics Equipment,"$1,700.00 ",9.00%,'CA2-092,https://www.wirebids.com/lots/view/baumfolder-l-23-b-23x36-continous-feed-paper-folder-with-8-page-return-and-roll-up-delivery-1/27047
"Bell & Howell 6 Pocket 60"" Inserter","$2,071.00 ",6/29/2016,Boggs Graphics Equipment,"$1,900.00 ",9.00%,'M1016,https://www.wirebids.com/lots/view/bell-howell-6-pocket-60-inserter-1/27045
AB Dick 9910XCD Offset Press with T-51 Swing-a-way color head and Envelope Feeder,"$1,253.50 ",6/29/2016,Boggs Graphics Equipment,"$1,150.00 ",9.00%,-,https://www.wirebids.com/lots/view/ab-dick-9910xcd-offset-press-with-t-51-swing-a-way-color-head-and-envelope-feeder-/27151
Baum Model 714 Ultrafold (Ships from Virginia),"$1,471.50 ",6/29/2016,Boggs Graphics Equipment,"$1,350.00 ",9.00%,-,https://www.wirebids.com/lots/view/baum-model-714-ultrafold-ships-from-virginia/27224
Ryobi Model 522H 2 Color Perfector Press (Ships from PA),"$5,014.00 ",6/29/2016,Boggs Graphics Equipment,"$4,600.00 ",9.00%,-,https://www.wirebids.com/lots/view/ryobi-model-522h-2-color-perfector-press-ships-from-pa/27225
Fastbind Elite XT Perfect Binder (Ships from Maryland),"$1,526.00 ",6/29/2016,Boggs Graphics Equipment,"$1,400.00 ",9.00%,-,https://www.wirebids.com/lots/view/fastbind-elite-xt-perfect-binder-ships-from-maryland/27223
Baumfolder Model 714A Air Feed Paper Folder (Ships from Virginia),$501.40 ,6/29/2016,Boggs Graphics Equipment,$460.00 ,9.00%,-,https://www.wirebids.com/lots/view/baumfolder-model-714a-air-feed-paper-folder-ships-from-virginia-/27222
Ryobi 512 Two Color Offset Printing Press (AB Dick 6020 Model),"$3,706.00 ",6/29/2016,Boggs Graphics Equipment,"$3,400.00 ",9.00%,-,https://www.wirebids.com/lots/view/ryobi-512-two-color-offset-printing-press-ab-dick-6020-model-1/27150
Martin Yale Powerline Pl2120 Electric Cutter - Click Here for Video!,$457.80 ,6/29/2016,Boggs Graphics Equipment,$420.00 ,9.00%,'218002,https://www.wirebids.com/lots/view/martin-yale-powerline-pl2120-electric-cutter-click-here-for-video-1/27046
Rosback 223 Perf / Slit / Score Machine,"$3,597.00 ",6/29/2016,Boggs Graphics Equipment,"$3,300.00 ",9.00%,'223A92625,https://www.wirebids.com/lots/view/rosback-223-perf-slit-score-machine/27153
